IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,20.87,,,12.02,,30.6,20.87 [12.02-30.60],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,21.8,,,13.02,,32.47,21.80 [13.02-32.47],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,22.23,,,13.25,,32.67,22.23 [13.25-32.67],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,22.94,,,14.05,,33.41,22.94 [14.05-33.41],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,23.5,,,14.45,,34.56,23.50 [14.45-34.56],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,21.31,,,12.12,,31.53,21.31 [12.12-31.53],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.23,,,13.13,,33.36,22.23 [13.13-33.36],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2018,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,22.64,,,13.42,,33.55,22.64 [13.42-33.55],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2018,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,23.35,,,14.24,,34.23,23.35 [14.24-34.23],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2018,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,23.92,,,14.66,,35.17,23.92 [14.66-35.17],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2017,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,21.35,,,12.12,,31.62,21.35 [12.12-31.62],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2017,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.23,,,13.12,,33.53,22.23 [13.12-33.53],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2017,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,22.6,,,13.41,,33.74,22.60 [13.41-33.74],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2017,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,23.3,,,14.22,,34.27,23.30 [14.22-34.27],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2017,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,23.85,,,14.67,,35.17,23.85 [14.67-35.17],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2016,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,21.26,,,12.11,,31.41,21.26 [12.11-31.41],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2016,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.17,,,13.09,,33.33,22.17 [13.09-33.33],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2016,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,22.59,,,13.4,,33.64,22.59 [13.40-33.64],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2016,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,23.28,,,14.22,,34.15,23.28 [14.22-34.15],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2016,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,23.82,,,14.67,,35.06,23.82 [14.67-35.06],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2015,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,21.21,,,12.09,,31.31,21.21 [12.09-31.31],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2015,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.12,,,13.07,,33.26,22.12 [13.07-33.26],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2015,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,22.54,,,13.38,,33.55,22.54 [13.38-33.55],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2015,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,23.23,,,14.19,,34.08,23.23 [14.19-34.08],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2015,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,23.77,,,14.64,,34.97,23.77 [14.64-34.97],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2014,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,21.01,,,12,,30.93,21.01 [12.00-30.93],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2014,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,21.94,,,13.01,,32.88,21.94 [13.01-32.88],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2014,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,22.36,,,13.27,,33.15,22.36 [13.27-33.15],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2014,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,23.07,,,14.09,,33.78,23.07 [14.09-33.78],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2014,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,23.63,,,14.55,,34.68,23.63 [14.55-34.68],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2013,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,21.19,,,12.04,,31.39,21.19 [12.04-31.39],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2013,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.07,,,13.03,,33.3,22.07 [13.03-33.30],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2013,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,22.42,,,13.29,,33.44,22.42 [13.29-33.44],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2013,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,23.14,,,14.13,,34.05,23.14 [14.13-34.05],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2013,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,23.71,,,14.62,,34.97,23.71 [14.62-34.97],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2012,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,21.23,,,12.02,,31.49,21.23 [12.02-31.49],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2012,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.09,,,13.01,,33.32,22.09 [13.01-33.32],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2012,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,22.43,,,13.27,,33.47,22.43 [13.27-33.47],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2012,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,23.12,,,14.1,,34.02,23.12 [14.10-34.02],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2012,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,23.67,,,14.59,,34.89,23.67 [14.59-34.89],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2011,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,21.52,,,12.11,,32.06,21.52 [12.11-32.06],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2011,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.38,,,13.07,,33.97,22.38 [13.07-33.97],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2011,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,22.72,,,13.36,,34.15,22.72 [13.36-34.15],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2011,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,23.42,,,14.24,,34.63,23.42 [14.24-34.63],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2011,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,23.98,,,14.74,,35.52,23.98 [14.74-35.52],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2010,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,21.39,,,12.05,,31.78,21.39 [12.05-31.78],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2010,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.26,,,13.03,,33.72,22.26 [13.03-33.72],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2010,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,22.61,,,13.31,,33.91,22.61 [13.31-33.91],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2010,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,23.32,,,14.18,,34.43,23.32 [14.18-34.43],,,EN,2022-08-12T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ETH,Ethiopia,Year,2010,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,23.88,,,14.69,,35.32,23.88 [14.69-35.32],,,EN,2022-08-12T04:00:00.000Z
